epoch, loss(train), loss(val)
96, 0.050787, 0.051676
97, 0.050786, 0.051680
98, 0.050784, 0.051672
99, 0.050783, 0.051673
100, 0.050782, 0.051673
1, 0.083241, 0.081338
2, 0.068011, 0.066275
3, 0.064500, 0.062939
4, 0.062763, 0.061977
5, 0.060735, 0.060340
6, 0.059243, 0.058967
7, 0.058659, 0.058494
8, 0.058254, 0.058243
9, 0.058391, 0.058417
10, 0.058190, 0.058318
11, 0.057913, 0.058267
12, 0.057026, 0.057716
13, 0.056899, 0.057677
14, 0.056948, 0.057710
15, 0.056834, 0.057578
16, 0.056879, 0.057601
17, 0.056644, 0.057316
18, 0.056123, 0.056696
19, 0.055539, 0.055993
20, 0.054817, 0.055192
21, 0.054251, 0.054556
22, 0.053735, 0.054037
23, 0.053590, 0.053807
24, 0.053532, 0.053687
25, 0.053535, 0.053628
26, 0.053524, 0.053611
27, 0.053373, 0.053523
28, 0.053050, 0.053344
29, 0.052943, 0.053259
30, 0.052761, 0.053106
31, 0.052696, 0.053025
32, 0.052689, 0.052930
33, 0.052740, 0.052846
34, 0.052706, 0.052756
35, 0.052765, 0.052704
36, 0.052756, 0.052639
37, 0.052711, 0.052555
38, 0.052549, 0.052426
39, 0.052322, 0.052297
40, 0.052060, 0.052150
41, 0.051793, 0.052026
42, 0.051636, 0.051965
43, 0.051514, 0.051931
44, 0.051438, 0.051905
45, 0.051403, 0.051888
46, 0.051358, 0.051865
47, 0.051337, 0.051848
48, 0.051338, 0.051840
49, 0.051314, 0.051821
50, 0.051277, 0.051795
51, 0.051270, 0.051777
52, 0.051233, 0.051768
53, 0.051212, 0.051756
54, 0.051174, 0.051745
55, 0.051122, 0.051735
56, 0.051073, 0.051735
57, 0.051029, 0.051744
58, 0.051000, 0.051749
59, 0.050973, 0.051769
60, 0.050952, 0.051795
61, 0.050937, 0.051807
62, 0.050928, 0.051828
63, 0.050916, 0.051835
64, 0.050908, 0.051846
65, 0.050891, 0.051827
66, 0.050875, 0.051813
67, 0.050859, 0.051792
68, 0.050848, 0.051785
69, 0.050833, 0.051761
70, 0.050818, 0.051735
71, 0.050805, 0.051714
72, 0.050798, 0.051715
73, 0.050788, 0.051700
74, 0.050779, 0.051684
75, 0.050772, 0.051674
76, 0.050765, 0.051667
77, 0.050759, 0.051653
78, 0.050753, 0.051646
79, 0.050748, 0.051638
80, 0.050743, 0.051630
81, 0.050740, 0.051629
82, 0.050735, 0.051620
83, 0.050732, 0.051618
84, 0.050728, 0.051612
85, 0.050725, 0.051609
86, 0.050722, 0.051603
87, 0.050719, 0.051599
88, 0.050716, 0.051596
89, 0.050714, 0.051596
90, 0.050711, 0.051589
91, 0.050710, 0.051587
92, 0.050708, 0.051584
93, 0.050706, 0.051585
94, 0.050705, 0.051585
95, 0.050703, 0.051586
96, 0.050702, 0.051580
97, 0.050700, 0.051578
98, 0.050699, 0.051579
99, 0.050698, 0.051577
100, 0.050697, 0.051575
1, 0.086009, 0.084843
