GYRO_DIFF, GYRO_X, GYRO_Y, GYRO_Z, ACC_DIFF, ACC_X, ACC_Y, ACC_Z, TOUCH_DOWN, TOUCH_X, TOUCH_Y 
4943848, 0.0073547363, -0.06666565, 0.008087158, 4943848, 0.08454329, -0.12157488, 0.25715256, 0, 0, 0
4974365, 0.025680542, -0.06542969, 0.00932312, 4974365, 0.019856244, -0.1517086, 0.21578884, 0, 0, 0
4943848, 0.039108276, -0.061767578, 0.010528564, 4943848, 0.025333107, -0.15769672, 0.18264103, 0, 0, 0
4943847, 0.054992676, -0.05444336, 0.006881714, 4943847, 0.03677687, -0.16060925, 0.11904192, 0, 0, 0
4943848, 0.05987549, -0.03855896, -0.001663208, 4943848, 0.06054303, -0.1262269, -0.0511837, 0, 0, 0
4943848, 0.058654785, -0.028778076, -0.010223389, 4943848, 0.039889187, -0.11896658, -0.11043024, 0, 0, 0
4943847, 0.053771973, -0.020233154, -0.017547607, 4943847, 0.06763488, -0.08832216, -0.29764032, 0, 0, 0
4974366, 0.044006348, -0.0043640137, -0.012664795, 4974366, 0.064637184, -0.1526475, -0.33733892, 0, 0, 0
4913330, 0.042770386, -0.0043640137, -0.016311646, 4913330, 0.122148275, -0.15032244, -0.4902358, 0, 0, 0
4974365, 0.03666687, -0.008010864, -0.0309906, 4974365, 0.12833318, -0.16711283, -0.65809155, 0, 0, 0
4913330, -0.0011901855, -0.015335083, -0.041992188, 4913330, 0.0815607, -0.14397097, -0.70572186, 0, 0, 0
7019043, -0.015838623, -0.017791748, -0.055419922, 7019043, -0.017094284, -0.07944393, -0.64538956, 0, 0, 0
5035400, -0.047607422, -0.030014038, -0.057861328, 5035400, -0.027678281, -0.04421425, -0.483459, 0, 0, 0
5065918, -0.06593323, -0.030014038, -0.056640625, 5065918, -0.07072726, -0.061291218, -0.29572916, 0, 0, 0
5035400, -0.069610596, -0.048339844, -0.045639038, 5065918, -0.07072726, -0.061291218, -0.29572916, 0, 0, 0
4943848, -0.07571411, -0.053222656, -0.029754639, 5035401, -0.14613205, -0.016079426, -0.18707275, 0, 0, 0
4943848, -0.07571411, -0.053222656, -0.029754639, 4943848, -0.060000688, -0.032361984, 0.06573439, 0, 0, 0
4913330, -0.061050415, -0.059326172, -0.028549194, 4913330, 0.013692051, -0.055855274, 0.23169851, 0, 0, 0
4943848, -0.04272461, -0.04710388, -0.011428833, 4943848, 0.09842971, 0.0019659996, 0.37617636, 0, 0, 0
4974365, -0.04396057, -0.02267456, 7.6293945E-4, 4974365, 0.059977382, 0.038568497, 0.49224234, 0, 0, 0
4943847, -0.018295288, 0.0017547607, 0.005645752, 4943847, 0.010004759, 0.026865005, 0.6085515, 0, 0, 0
4943848, 0.03666687, 0.071380615, 0.03375244, 4943847, 0.010004759, 0.026865005, 0.6085515, 0, 0, 0
4943847, 0.06965637, 0.071380615, 0.026412964, 4943848, -0.04166943, 0.03344965, 0.586843, 0, 0, 0
4943847, 0.06965637, 0.071380615, 0.026412964, 4943847, -0.10213131, -0.00799036, 0.26601982, 0, 0, 0
4943848, 0.11729431, 0.017623901, 0.02885437, 4943847, -0.10213131, -0.00799036, 0.26601982, 0, 0, 0
4943847, 0.12463379, -0.02633667, 0.015411377, 4943848, -0.17679632, -0.03727007, 0.097578526, 0, 0, 0
4943847, 0.12463379, -0.02633667, 0.015411377, 4943847, -0.15831372, -0.031885624, -0.45608377, 0, 0, 0
4943848, 0.08920288, -0.08621216, 0.023971558, 4943847, -0.15831372, -0.031885624, -0.45608377, 0, 0, 0
4943848, 0.08920288, -0.08621216, 0.023971558, 4943848, -0.14892504, -0.008063793, -0.7838378, 0, 0, 0
4913330, 0.02079773, -0.08621216, 0.031295776, 4943848, -0.14892504, -0.008063793, -0.7838378, 0, 0, 0
4974366, -0.024398804, -0.072769165, 0.02885437, 4943847, -0.11063865, -0.058168888, -0.8307414, 0, 0, 0
4974366, -0.024398804, -0.072769165, 0.02885437, 4974366, -0.0968799, -0.18378782, -0.676373, 0, 0, 0
4943847, -0.062286377, -0.052001953, 0.022766113, 4943847, -0.14458254, -0.1870327, -0.5624795, 0, 0, 0
4943848, -0.08181763, -0.052001953, 0.026412964, 4943848, -0.07617259, -0.18300056, -0.40775204, 0, 0, 0
4943848, -0.08181763, -0.056884766, 0.020324707, 4943848, -0.044454306, -0.19127846, -0.18571997, 0, 0, 0
4943848, -0.113586426, -0.052001953, 0.023971558, 4943848, -0.044454306, -0.19127846, -0.18571997, 0, 0, 0
4943848, -0.1209259, -0.05078125, 0.03253174, 4943847, -0.026394248, -0.10589123, -0.109315395, 0, 0, 0
4943848, -0.1209259, -0.05078125, 0.03253174, 4943848, -0.035918444, -0.049533367, 0.11213875, 0, 0, 0
7019043, -0.09648132, -0.023895264, 0.043533325, 7019043, 0.054142416, -0.022638798, 0.32632685, 0, 0, 0
5065917, -0.07571411, -0.014129639, 0.04473877, 5065917, 0.19720593, -0.0069942474, 0.3675189, 0, 0, 0
5035401, -0.052505493, 0.0066375732, 0.043533325, 5035401, 0.23991686, 0.013999462, 0.49321795, 0, 0, 0
5035400, -0.021957397, 0.02130127, 0.042297363, 5035400, 0.25855935, -0.038397312, 0.47861004, 0, 0, 0
5035401, 0.011001587, 0.038391113, 0.03375244, 5035401, 0.3520768, -0.024868488, 0.44775343, 0, 0, 0
4943847, 0.034225464, 0.060394287, 0.023971558, 4943847, 0.33637902, 0.01285696, 0.33020306, 0, 0, 0
4943848, 0.05621338, 0.066482544, 0.020324707, 4943848, 0.23788056, -0.018983841, 0.15827894, 0, 0, 0
4943848, 0.065979004, 0.05795288, 0.02520752, 4943848, 0.18445039, -0.060905933, 0.00242424, 0, 0, 0
4943847, 0.05987549, 0.05795288, 0.022766113, 4943847, 0.14200425, -0.050740242, -0.19619656, 0, 0, 0
4943848, 0.05987549, 0.039627075, 0.022766113, 4943848, 0.10818091, -0.09642458, -0.48614836, 0, 0, 0
4913330, 0.058654785, 0.02130127, 0.016647339, 4913330, 0.07379165, -0.098207474, -0.5766053, 0, 0, 0
4974365, 0.019561768, 0.012756348, 0.020324707, 4974365, 0.1606001, -0.03146839, -0.66669273, 0, 0, 0
4943848, -0.019515991, 0.0090789795, 0.011764526, 4943848, 0.14835045, -0.073105335, -0.58364105, 0, 0, 0
4943848, -0.047607422, 0.005432129, -4.5776367E-4, 4943848, 0.15281683, -0.06598425, -0.48376226, 0, 0, 0
4943847, -0.06838989, 0.017623901, 0.0032043457, 4943847, 0.15974185, -0.09528875, -0.3139186, 0, 0, 0
4943848, -0.073272705, 0.02130127, -0.011428833, 4943848, 0.16878968, -0.089873314, -0.15918446, 0, 0, 0
4878914, -0.08425903, 0.027389526, -0.01876831, 4878914, 0.14438966, -0.20742846, -0.12957287, 0, 0, 0
4943847, -0.089157104, 0.034729004, -0.0041046143, 4943847, 0.01070416, -0.25341463, 0.038994312, 0, 0, 0
4943848, -0.09037781, 0.038391113, -0.001663208, 4943848, 0.021157175, -0.16336441, 0.117845535, 0, 0, 0
4943848, -0.06472778, 0.051834106, -0.00289917, 4943848, 0.031738102, -0.17526817, 0.18364811, 0, 0, 0
4943847, -0.059829712, 0.06404114, -0.005340576, 4943847, 0.054839283, -0.121110916, 0.2538023, 0, 0, 0
4943848, -0.048843384, 0.066482544, -0.0065460205, 4943848, 0.09364769, -0.099453926, 0.23439598, 0, 0, 0
4943847, -0.030517578, 0.071380615, -0.001663208, 4943847, 0.14867502, -0.10860968, 0.20354366, 0, 0, 0
